technique_id,name,phases,platforms,permissions,mitre_tactic_score
T1552.004,Private Keys,credential-access,"Linux,macOS,Network Devices,Windows",,4
T1583.004,Server,resource-development,PRE,,1
T1021.006,Windows Remote Management,lateral-movement,Windows,,4
T1011.001,Exfiltration Over Bluetooth,exfiltration,"Linux,macOS,Windows",,4
T1078.001,Default Accounts,"defense-evasion,persistence,privilege-escalation,initial-access","Windows,SaaS,IaaS,Linux,macOS,Containers,Network Devices,Office Suite,Identity Provider,ESXi",,5
T1547.003,Time Providers,"persistence,privilege-escalation",Windows,,5
T1546.005,Trap,"privilege-escalation,persistence","macOS,Linux",,5
T1574.006,Dynamic Linker Hijacking,"persistence,privilege-escalation,defense-evasion","Linux,macOS",,5
T1136.001,Local Account,persistence,"Linux,macOS,Windows,Network Devices,Containers,ESXi",,3
T1681,Search Threat Vendor Data,reconnaissance,PRE,,1
T1674,Input Injection,execution,"Windows,macOS,Linux",,3
T1092,Communication Through Removable Media,command-and-control,"Linux,macOS,Windows",,4
T1070.001,Clear Windows Event Logs,defense-evasion,Windows,,3
T1585.002,Email Accounts,resource-development,PRE,,1
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,"credential-access,collection",Windows,,4
T1222,File and Directory Permissions Modification,defense-evasion,"ESXi,Linux,macOS,Windows",,3
T1003.001,LSASS Memory,credential-access,Windows,,4
T1176.002,IDE Extensions,persistence,"Linux,macOS,Windows",,3
T1595,Active Scanning,reconnaissance,PRE,,1
T1027.016,Junk Code Insertion,defense-evasion,"Linux,macOS,Windows",,3
T1548,Abuse Elevation Control Mechanism,"privilege-escalation,defense-evasion","Linux,macOS,Windows,IaaS,Office Suite,Identity Provider",,5
T1134.002,Create Process with Token,"defense-evasion,privilege-escalation",Windows,,5
T1548.001,Setuid and Setgid,"privilege-escalation,defense-evasion","Linux,macOS",,5
T1547.004,Winlogon Helper DLL,"persistence,privilege-escalation",Windows,,5
T1021.003,Distributed Component Object Model,lateral-movement,Windows,,4
T1110.003,Password Spraying,credential-access,"Containers,ESXi,IaaS,Identity Provider,Linux,Network Devices,Office Suite,SaaS,Windows,macOS",,4
T1090.002,External Proxy,command-and-control,"ESXi,Linux,Network Devices,Windows,macOS",,4
T1056.003,Web Portal Capture,"collection,credential-access","Linux,macOS,Windows",,4
T1589.002,Email Addresses,reconnaissance,PRE,,1
T1598.004,Spearphishing Voice,reconnaissance,PRE,,1
T1003.005,Cached Domain Credentials,credential-access,"Windows,Linux",,4
T1098.004,SSH Authorized Keys,"persistence,privilege-escalation","Linux,macOS,IaaS,Network Devices,ESXi",,5
T1673,Virtual Machine Discovery,discovery,"ESXi,Linux,macOS,Windows",,2
T1590.006,Network Security Appliances,reconnaissance,PRE,,1
T1546.012,Image File Execution Options Injection,"privilege-escalation,persistence",Windows,,5
T1218.008,Odbcconf,defense-evasion,Windows,,3
T1593.002,Search Engines,reconnaissance,PRE,,1
T1591.002,Business Relationships,reconnaissance,PRE,,1
T1548.005,Temporary Elevated Cloud Access,"privilege-escalation,defense-evasion","IaaS,Office Suite,Identity Provider",,5
T1125,Video Capture,collection,"Windows,macOS,Linux",,2
T1055.013,Process Doppelgänging,"defense-evasion,privilege-escalation",Windows,,5
T1016,System Network Configuration Discovery,discovery,"ESXi,Linux,macOS,Network Devices,Windows",,2
T1578.003,Delete Cloud Instance,defense-evasion,IaaS,,3
T1593.003,Code Repositories,reconnaissance,PRE,,1
T1574.005,Executable Installer File Permissions Weakness,"persistence,privilege-escalation,defense-evasion",Windows,,5
T1546.008,Accessibility Features,"privilege-escalation,persistence",Windows,,5
T1496.002,Bandwidth Hijacking,impact,"Linux,Windows,macOS,IaaS,Containers",,5
